Date/Time,HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Electricity Rate [W](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Water Volume Flow Rate [m3/s](Hourly) 
 01/04  18:00:00,48.8888888888889,58.26996280935089,58.26996280935089,58.26996280935089,0.0,0.0 
 01/04  19:00:00,48.8888888888889,58.092297170886866,58.092297170886866,58.092297170886866,0.0,0.0 
 01/04  20:00:00,48.8888888888889,59.667177291855914,62.157164153792316,59.667177291855914,0.0,0.0 
 01/04  21:00:00,48.8888888888889,59.814280180618994,59.814280180618994,59.814280180618994,0.0,0.0 
 01/04  22:00:00,48.8888888888889,59.62937949393043,59.62937949393043,59.62937949393043,0.0,0.0 
 01/04  23:00:00,48.8888888888889,59.44534554392992,59.44534554392992,59.44534554392992,0.0,0.0 
 01/04  24:00:00,48.8888888888889,59.26217413621034,59.26217413621034,59.26217413621034,0.0,0.0 
 01/05  01:00:00,48.8888888888889,59.079861097911945,59.079861097911945,59.079861097911945,0.0,0.0 
 01/05  02:00:00,48.8888888888889,58.89840227771711,58.89840227771711,58.89840227771711,0.0,0.0 
 01/05  03:00:00,48.8888888888889,58.71779354555167,58.71779354555167,58.71779354555167,0.0,0.0 
 01/05  04:00:00,48.8888888888889,58.53803079252084,58.53803079252084,58.53803079252084,0.0,0.0 
 01/05  05:00:00,48.8888888888889,58.359109930788065,58.359109930788065,58.359109930788065,0.0,0.0 
 01/05  06:00:00,48.8888888888889,58.181026893418306,58.181026893418306,58.181026893418306,0.0,0.0 
 01/05  07:00:00,48.8888888888889,58.71452698022839,61.2051162607829,58.71452698022839,0.0,0.0 
 01/05  08:00:00,48.8888888888889,59.90705753549147,59.90705753549147,59.90705753549147,0.0,0.0 
 01/05  09:00:00,48.8888888888889,59.721721897644315,59.721721897644315,59.721721897644315,0.0,0.0 
 01/05  10:00:00,48.8888888888889,59.53725510181367,59.53725510181367,59.53725510181367,0.0,0.0 
 01/05  11:00:00,48.8888888888889,59.35365294279384,59.35365294279384,59.35365294279384,0.0,0.0 
 01/05  12:00:00,48.8888888888889,59.17091123694309,59.17091123694309,59.17091123694309,0.0,0.0 
 01/05  13:00:00,48.8888888888889,58.989025822192545,58.989025822192545,58.989025822192545,0.0,0.0 
 01/05  14:00:00,48.8888888888889,58.807992557875195,58.807992557875195,58.807992557875195,0.0,0.0 
 01/05  15:00:00,48.8888888888889,58.62780732451203,58.62780732451203,58.62780732451203,0.0,0.0 
 01/05  16:00:00,48.8888888888889,58.448466023762585,58.448466023762585,58.448466023762585,0.0,0.0 
 01/05  17:00:00,48.8888888888889,58.269964578245194,58.269964578245194,58.269964578245194,0.0,0.0 
 01/05  18:00:00,48.8888888888889,58.09229893147,58.09229893147,58.09229893147,0.0,0.0 
